instance,value,time,nodes,edges,terminals
instance001,7305,110.727,6405,10454,16
instance002,317,103.561,7998,14734,16
instance003,40,154.339,8007,14743,24
instance004,107027,371.826,19083,35636,24
instance005,84939,186.152,8013,14749,30
instance006,127745,556.25,19091,35644,31
instance007,290510,1733.89,38282,71521,34
instance008,80035,329.099,8017,14753,36
instance009,7591529,496.836,3803,6213,38
instance010,13648186,307.77,2363,3761,40
instance011,166978,934.184,19100,35653,40
instance012,333962,2270.01,38294,71533,45
instance013,5064,149.022,550,5013,50
instance014,290,188.51,1000,13500,50
instance015,481,190.597,1000,13500,50
instance016,9944822,441.981,1991,3176,51
instance017,65488,265.267,3716,6750,52
instance018,217507,1590.46,19112,35665,53
instance019,348583,3289.48,38307,71546,58
instance020,5904945,261.253,838,1763,60
instance021,344,389.149,1331,19965,61
instance022,124293,524.949,1331,19965,61
instance023,582,395.179,1331,19965,61
instance024,6104915,174.592,670,1316,62
instance025,228,113.494,512,2304,64
instance026,48236,159.427,512,2304,64
instance027,6302430,417.99,1822,3610,64
instance028,6502023,641.829,2521,4858,66
instance029,6600890,259.647,987,1923,67
instance030,21168,2645.68,11543,18429,68
instance031,559,781.782,1728,28512,74
instance032,158826,953.897,1728,28512,74
instance033,820,802.754,1728,28512,74
instance034,7402736,282.555,729,1395,75
instance035,7501722,604.387,1761,3370,76
instance036,76509,351.725,729,4368,76
instance037,7702908,845.225,2346,4656,78
instance038,7801105,313.331,833,1595,79
instance039,38548,162.923,320,640,80
instance040,34810,112.528,320,640,80
instance041,55895,207.929,320,1845,80
instance042,59978,142.68,320,1845,80
instance043,7901623,577.859,1491,2831,80
instance044,67485,282.986,320,10208,80
instance045,66787,287.167,320,10208,80
instance046,24297,794.078,320,51040,80
instance047,24329,803.27,320,51040,80
instance048,147715,1444.88,8062,14798,81
instance049,8202346,1216.59,3168,6220,83
instance050,8302755,942.507,2356,4547,84
