instance,value,time,nodes,edges,terminals
instance001,2324,82.0442,6405,10454,16
instance002,16563,95.5947,7998,14734,16
instance003,19457,152.03,8007,14743,24
instance004,25623,463.942,19083,35636,24
instance005,23717,247.134,8013,14749,30
instance006,30274,598.838,19091,35644,31
instance007,49822,1378.48,38282,71521,34
instance008,22574,244.625,8017,14753,36
instance009,16370975,138.047,3803,6213,38
instance010,13719204,98.838,2363,3761,40
instance011,34848,637.147,19100,35653,40
instance012,54736,1594.35,38294,71533,45
instance013,9090,45.472,550,5013,50
instance014,91,69.9878,1000,13500,50
instance015,181,70.3611,1000,13500,50
instance016,14592329,106.683,1991,3176,51
instance017,18351,167,3716,6750,52
instance018,43009,899.212,19112,35665,53
instance019,61167,1985.63,38307,71546,58
instance020,11600427,54.7173,838,1763,60
instance021,112,119.635,1331,19965,61
instance022,23133,134.503,1331,19965,61
instance023,223,116.073,1331,19965,61
instance024,10500596,49.8698,670,1316,62
instance025,122,46.6119,512,2304,64
instance026,24696,56.6414,512,2304,64
instance027,10000803,118.429,1822,3610,64
instance028,11100782,170.997,2521,4858,66
instance029,9100684,73.8677,987,1923,67
instance030,4168,704.297,11543,18429,68
instance031,137,194.645,1728,28512,74
instance032,27728,245.209,1728,28512,74
instance033,273,222.388,1728,28512,74
instance034,12800484,74.4716,729,1395,75
instance035,11900829,166.039,1761,3370,76
instance036,26745,90.926,729,4368,76
instance037,12400809,197.736,2346,4656,78
instance038,11600386,77.7535,833,1595,79
instance039,26133,41.1344,320,640,80
instance040,26473,39.8046,320,640,80
instance041,23831,45.0011,320,1845,80
instance042,23721,47.1298,320,1845,80
instance043,12600672,128.769,1491,2831,80
instance044,23050,67.951,320,10208,80
instance045,23061,69.3809,320,10208,80
instance046,22733,146.374,320,51040,80
instance047,22756,139.008,320,51040,80
instance048,34724,592.512,8062,14798,81
instance049,13900715,317.546,3168,6220,83
instance050,12300843,235.267,2356,4547,84
